Date,Time,Reading Index,Movement Value
505,2015-02-06,19:46:25.175191,0
506,2015-02-06,19:46:25.475699,2
507,2015-02-06,19:46:25.775619,1
508,2015-02-06,19:46:26.075664,1
509,2015-02-06,19:46:26.376201,2
510,2015-02-06,19:46:26.676003,1
511,2015-02-06,19:46:26.976282,0
512,2015-02-06,19:46:27.275118,0
513,2015-02-06,19:46:27.575365,1
514,2015-02-06,19:46:27.875444,0
515,2015-02-06,19:46:28.175638,0
516,2015-02-06,19:46:28.475799,0
517,2015-02-06,19:46:28.777281,0
518,2015-02-06,19:46:29.077336,1
519,2015-02-06,19:46:29.377924,1
520,2015-02-06,19:46:29.676435,1
521,2015-02-06,19:46:29.976935,0
522,2015-02-06,19:46:30.276774,1
523,2015-02-06,19:46:30.577021,1
524,2015-02-06,19:46:30.877104,0
525,2015-02-06,19:46:31.177291,0
526,2015-02-06,19:46:31.477506,1
527,2015-02-06,19:46:31.777712,0
528,2015-02-06,19:46:32.077775,0
529,2015-02-06,19:46:32.378290,0
530,2015-02-06,19:46:32.678104,0
531,2015-02-06,19:46:32.978368,0
532,2015-02-06,19:46:33.278423,0
533,2015-02-06,19:46:33.578666,0
534,2015-02-06,19:46:33.878763,1
535,2015-02-06,19:46:34.179076,1
536,2015-02-06,19:46:34.479105,2
537,2015-02-06,19:46:34.779277,0
538,2015-02-06,19:46:35.078172,2
539,2015-02-06,19:46:35.378798,1
540,2015-02-06,19:46:35.678496,1
541,2015-02-06,19:46:35.980292,0
542,2015-02-06,19:46:36.280496,0
543,2015-02-06,19:46:36.580372,0
544,2015-02-06,19:46:36.880827,0
545,2015-02-06,19:46:37.180709,1
546,2015-02-06,19:46:37.479509,0
547,2015-02-06,19:46:37.779653,0
548,2015-02-06,19:46:38.080252,0
549,2015-02-06,19:46:38.380210,1
550,2015-02-06,19:46:38.680405,0
551,2015-02-06,19:46:38.980691,0
552,2015-02-06,19:46:39.282161,1
553,2015-02-06,19:46:39.583288,1
554,2015-02-06,19:46:39.881171,0
555,2015-02-06,19:46:40.181112,0
556,2015-02-06,19:46:40.481507,0
557,2015-02-06,19:46:40.781735,1
558,2015-02-06,19:46:41.081983,0
559,2015-02-06,19:46:41.381876,1
560,2015-02-06,19:46:41.682242,0
561,2015-02-06,19:46:41.982415,0
562,2015-02-06,19:46:42.282567,0
563,2015-02-06,19:46:42.582675,1
564,2015-02-06,19:46:42.882949,1
565,2015-02-06,19:46:43.182761,1
566,2015-02-06,19:46:43.483175,0
567,2015-02-06,19:46:43.783242,0
568,2015-02-06,19:46:44.083397,0
569,2015-02-06,19:46:44.383647,0
570,2015-02-06,19:46:44.683587,0
571,2015-02-06,19:46:44.983640,0
572,2015-02-06,19:46:45.283070,0
573,2015-02-06,19:46:45.582830,0
574,2015-02-06,19:46:45.883144,0
575,2015-02-06,19:46:46.183136,0
576,2015-02-06,19:46:46.484542,0
577,2015-02-06,19:46:46.784627,1
578,2015-02-06,19:46:47.084786,1
579,2015-02-06,19:46:47.384988,0
580,2015-02-06,19:46:47.684112,0
581,2015-02-06,19:46:47.984017,0
582,2015-02-06,19:46:48.284445,0
583,2015-02-06,19:46:48.584366,0
584,2015-02-06,19:46:48.884578,1
585,2015-02-06,19:46:49.184677,1
586,2015-02-06,19:46:49.484885,0
587,2015-02-06,19:46:49.786324,0
588,2015-02-06,19:46:50.085184,0
589,2015-02-06,19:46:50.385345,1
590,2015-02-06,19:46:50.685494,0
591,2015-02-06,19:46:50.985812,1
592,2015-02-06,19:46:51.285816,2
593,2015-02-06,19:46:51.586104,0
594,2015-02-06,19:46:51.886145,1
595,2015-02-06,19:46:52.186400,1
596,2015-02-06,19:46:52.486625,2
597,2015-02-06,19:46:52.786712,2
598,2015-02-06,19:46:53.085596,0
599,2015-02-06,19:46:53.387042,2
600,2015-02-06,19:46:53.687178,1
601,2015-02-06,19:46:53.987391,2
602,2015-02-06,19:46:54.287511,1
603,2015-02-06,19:46:54.587813,1
604,2015-02-06,19:46:54.887810,1
605,2015-02-06,19:46:55.188118,1
606,2015-02-06,19:46:55.486967,0
607,2015-02-06,19:46:55.787194,0
608,2015-02-06,19:46:56.087358,0
609,2015-02-06,19:46:56.387532,0
610,2015-02-06,19:46:56.687611,1
611,2015-02-06,19:46:56.989246,1
612,2015-02-06,19:46:57.289468,0
613,2015-02-06,19:46:57.589683,0
614,2015-02-06,19:46:57.888252,1
615,2015-02-06,19:46:58.188545,0
616,2015-02-06,19:46:58.488632,0
617,2015-02-06,19:46:58.788862,0
618,2015-02-06,19:46:59.088925,0
619,2015-02-06,19:46:59.389201,2
620,2015-02-06,19:46:59.689260,4
621,2015-02-06,19:46:59.989550,2
622,2015-02-06,19:47:00.289585,1
623,2015-02-06,19:47:00.590213,1
624,2015-02-06,19:47:00.890280,2
625,2015-02-06,19:47:01.190548,1
626,2015-02-06,19:47:01.490657,1
627,2015-02-06,19:47:01.790763,1
628,2015-02-06,19:47:02.090951,0
629,2015-02-06,19:47:02.391081,0
630,2015-02-06,19:47:02.691269,1
631,2015-02-06,19:47:02.991294,0
632,2015-02-06,19:47:03.290377,2
633,2015-02-06,19:47:03.590706,2
634,2015-02-06,19:47:03.891996,0
635,2015-02-06,19:47:04.192092,1
636,2015-02-06,19:47:04.492410,2
637,2015-02-06,19:47:04.792413,0
638,2015-02-06,19:47:05.092822,0
639,2015-02-06,19:47:05.392755,0
640,2015-02-06,19:47:05.691697,1
641,2015-02-06,19:47:05.991915,1
642,2015-02-06,19:47:06.292219,1
643,2015-02-06,19:47:06.592177,0
644,2015-02-06,19:47:06.892382,0
645,2015-02-06,19:47:07.192482,0
646,2015-02-06,19:47:07.493905,1
647,2015-02-06,19:47:07.793745,0
648,2015-02-06,19:47:08.093061,0
649,2015-02-06,19:47:08.393177,1
650,2015-02-06,19:47:08.693436,0
651,2015-02-06,19:47:08.993361,1
652,2015-02-06,19:47:09.293747,1
653,2015-02-06,19:47:09.593516,1
654,2015-02-06,19:47:09.893750,1
655,2015-02-06,19:47:10.193814,1
656,2015-02-06,19:47:10.494313,0
657,2015-02-06,19:47:10.794151,1
658,2015-02-06,19:47:11.094416,1
659,2015-02-06,19:47:11.394502,1
660,2015-02-06,19:47:11.694662,1
661,2015-02-06,19:47:11.994805,2
662,2015-02-06,19:47:12.295008,2
663,2015-02-06,19:47:12.595159,0
664,2015-02-06,19:47:12.895408,1
665,2015-02-06,19:47:13.195475,1
666,2015-02-06,19:47:13.494500,1
667,2015-02-06,19:47:13.794544,2
668,2015-02-06,19:47:14.094815,1
669,2015-02-06,19:47:14.396160,1
670,2015-02-06,19:47:14.696415,1
671,2015-02-06,19:47:14.996456,0
672,2015-02-06,19:47:15.296627,0
673,2015-02-06,19:47:15.596813,3
674,2015-02-06,19:47:15.895790,2
675,2015-02-06,19:47:16.195855,0
676,2015-02-06,19:47:16.496148,1
677,2015-02-06,19:47:16.796179,0
678,2015-02-06,19:47:17.096406,1
679,2015-02-06,19:47:17.396535,1
680,2015-02-06,19:47:17.696680,0
681,2015-02-06,19:47:17.998144,0
682,2015-02-06,19:47:18.296990,1
683,2015-02-06,19:47:18.597187,1
684,2015-02-06,19:47:18.897349,0
685,2015-02-06,19:47:19.197598,0
686,2015-02-06,19:47:19.497785,0
687,2015-02-06,19:47:19.797950,0
688,2015-02-06,19:47:20.097996,0
689,2015-02-06,19:47:20.398271,0
690,2015-02-06,19:47:20.698326,3
691,2015-02-06,19:47:20.998548,1
692,2015-02-06,19:47:21.297393,0
693,2015-02-06,19:47:21.598888,2
694,2015-02-06,19:47:21.898980,2
695,2015-02-06,19:47:22.199207,0
696,2015-02-06,19:47:22.499337,1
697,2015-02-06,19:47:22.799555,1
